iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Market Weight,Notional Weight
"MEDP","MEDPACE HOLDINGS INC","EQUITY","Health Care","Equity","355,777,398.60","355,777,398.60","773,093.00","460.20","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"OC","OWENS CORNING","EQUITY","Industrials","Equity","353,563,888.00","353,563,888.00","2,759,200.00","128.14","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"AMKR","AMKOR TECHNOLOGY INC","EQUITY","Information Technology","Equity","353,415,098.36","353,415,098.36","3,906,866.00","90.46","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"CACI","CACI INTERNATIONAL INC CLASS A","EQUITY","Industrials","Equity","353,043,092.82","353,043,092.82","756,921.00","466.42","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"COKE","COCA COLA CONSOLIDATED INC","EQUITY","Consumer Staples","Equity","351,552,028.46","351,552,028.46","1,936,499.00","181.54","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"R","RYDER SYSTEM INC","EQUITY","Industrials","Equity","349,154,086.29","349,154,086.29","1,325,717.00","263.37","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","EQUITY","Industrials","Equity","348,245,527.89","348,245,527.89","6,424,009.00","54.21","United States","NASDAQ","USD","1.00","USD","-","0.28","0.28"
"JEF","JEFFERIES FINANCIAL GROUP INC","EQUITY","Financials","Equity","347,987,286.00","347,987,286.00","5,603,660.00","62.10","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"AMH","AMERICAN HOMES RENT REIT CLASS A","EQUITY","Real Estate","Equity","344,167,782.84","344,167,782.84","10,853,604.00","31.71","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"SCI","SERVICE","EQUITY","Consumer Discretionary","Equity","343,306,039.22","343,306,039.22","4,727,431.00","72.62","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"SN","SHARKNINJA INC","EQUITY","Consumer Discretionary","Equity","341,463,059.00","341,463,059.00","2,424,475.00","140.84","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"DCI","DONALDSON INC","EQUITY","Industrials","Equity","339,367,220.08","339,367,220.08","3,968,279.00","85.52","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"DINO","HF SINCLAIR CORP","EQUITY","Energy","Equity","338,646,930.00","338,646,930.00","5,250,340.00","64.50","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"AR","ANTERO RESOURCES CORP","EQUITY","Energy","Equity","335,034,297.18","335,034,297.18","10,085,319.00","33.22","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
"PINS","PINTEREST INC CLASS A","EQUITY","Communication","Equity","334,588,396.87","334,588,396.87","16,506,581.00","20.27","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
"OGE","OGE ENERGY CORP","EQUITY","Utilities","Equity","334,465,395.00","334,465,395.00","7,071,150.00","47.30","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
"EHC","ENCOMPASS HEALTH CORP","EQUITY","Health Care","Equity","333,195,245.33","333,195,245.33","3,398,911.00","98.03","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
