iShares Core S&P 500 ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SNPS","SYNOPSYS INC","Information Technology","Equity","1,136,854,114.33","0.14","1,136,854,114.33","2,495,783.00","455.51","United States","NASDAQ","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","1,129,755,187.40","0.13","1,129,755,187.40","2,851,477.00","396.20","United States","NASDAQ","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","1,114,827,287.70","0.13","1,114,827,287.70","10,308,158.00","108.15","United States","NASDAQ","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","1,104,666,526.08","0.13","1,104,666,526.08","24,209,216.00","45.63","United States","NASDAQ","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","1,101,439,957.87","0.13","1,101,439,957.87","6,062,861.00","181.67","United States","NASDAQ","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","1,099,432,009.08","0.13","1,099,432,009.08","7,297,438.00","150.66","United States","NYSE","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1,099,194,316.50","0.13","1,099,194,316.50","2,829,329.00","388.50","United States","NYSE","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","1,091,333,210.00","0.13","1,091,333,210.00","6,795,350.00","160.60","United States","NYSE","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","1,068,626,668.90","0.13","1,068,626,668.90","6,070,018.00","176.05","United States","NYSE","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,041,169,556.88","0.12","1,041,169,556.88","46,418,616.00","22.43","United States","NASDAQ","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","1,034,638,509.60","0.12","1,034,638,509.60","2,965,940.00","348.84","United States","NYSE","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","1,032,975,168.60","0.12","1,032,975,168.60","4,813,491.00","214.60","United States","NYSE","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","1,030,470,964.54","0.12","1,030,470,964.54","3,289,402.00","313.27","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,027,756,275.84","0.12","1,027,756,275.84","5,266,224.00","195.16","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,023,695,126.64","0.12","1,023,695,126.64","7,998,868.00","127.98","United States","NYSE","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,019,976,470.66","0.12","1,019,976,470.66","9,727,031.00","104.86","United States","NYSE","USD","1.00","USD","-"
"MRSH","MARSH INC","Financials","Equity","1,019,476,966.21","0.12","1,019,476,966.21","6,277,181.00","162.41","United States","NYSE","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","1,015,547,808.99","0.12","1,015,547,808.99","3,249,649.00","312.51","United States","NYSE","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","1,005,467,200.56","0.12","1,005,467,200.56","16,724,338.00","60.12","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","1,000,986,918.00","0.12","1,000,986,918.00","640,140.00","1,563.70","United States","NASDAQ","USD","1.00","USD","-"
"COHR","COHERENT CORP","Information Technology","Equity","992,996,399.35","0.12","992,996,399.35","2,548,955.00","389.57","United States","NYSE","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","986,419,405.56","0.12","986,419,405.56","7,367,937.00","133.88","United States","NYSE","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","977,099,546.40","0.12","977,099,546.40","4,197,163.00","232.80","United States","NASDAQ","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","968,430,299.76","0.12","968,430,299.76","8,705,774.00","111.24","United States","NYSE","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","968,061,701.52","0.12","968,061,701.52","728,792.00","1,328.31","United States","NYSE","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","962,148,823.56","0.11","962,148,823.56","3,445,228.00","279.27","United States","NYSE","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","962,033,307.00","0.11","962,033,307.00","3,603,121.00","267.00","United States","NASDAQ","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","961,179,506.00","0.11","961,179,506.00","4,310,222.00","223.00","United States","NASDAQ","USD","1.00","USD","-"
