iShares Core S&P Small-Cap ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Market Weight,Notional Weight
"IBP","INSTALLED BUILDING PRODUCTS INC","EQUITY","Consumer Discretionary","Equity","296,006,145.75","296,006,145.75","1,356,271.00","218.25","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","EQUITY","Energy","Equity","294,396,522.01","294,396,522.01","11,147,161.00","26.41","United States","NYSE","USD","1.00","USD","-","0.28","0.27"
"VECO","VEECO INSTRUMENTS INC","EQUITY","Information Technology","Equity","293,123,947.50","293,123,947.50","3,680,150.00","79.65","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"POWI","POWER INTEGRATIONS INC","EQUITY","Information Technology","Equity","292,669,390.48","292,669,390.48","3,359,768.00","87.11","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"SXT","SENSIENT TECHNOLOGIES CORP","EQUITY","Materials","Equity","291,283,074.04","291,283,074.04","2,566,823.00","113.48","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
"OUT","OUTFRONT MEDIA INC","EQUITY","Real Estate","Equity","287,984,591.28","287,984,591.28","9,236,196.00","31.18","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
"IRDM","IRIDIUM COMMUNICATIONS INC","EQUITY","Communication","Equity","284,141,683.46","284,141,683.46","6,375,178.00","44.57","United States","NASDAQ","USD","1.00","USD","-","0.27","0.26"
"YOU","CLEAR SECURE INC CLASS A","EQUITY","Information Technology","Equity","284,038,625.85","284,038,625.85","5,520,673.00","51.45","United States","NYSE","USD","1.00","USD","-","0.27","0.26"
"AZZ","AZZ INC","EQUITY","Industrials","Equity","283,190,891.64","283,190,891.64","1,801,698.00","157.18","United States","NYSE","USD","1.00","USD","-","0.26","0.26"
"INDV","INDIVIOR PHARMACEUTICALS INC","EQUITY","Health Care","Equity","281,566,433.20","281,566,433.20","7,351,604.00","38.30","United States","NASDAQ","USD","1.00","USD","-","0.26","0.26"
"CVCO","CAVCO INDUSTRIES INC","EQUITY","Consumer Discretionary","Equity","281,489,837.72","281,489,837.72","467,972.00","601.51","United States","NASDAQ","USD","1.00","USD","-","0.26","0.26"
"LAUR","LAUREATE EDUCATION INC","EQUITY","Consumer Discretionary","Equity","279,808,666.03","279,808,666.03","7,680,721.00","36.43","United States","NASDAQ","USD","1.00","USD","-","0.26","0.26"
"CSW","CSW INDUSTRIALS INC","EQUITY","Industrials","Equity","278,012,053.22","278,012,053.22","993,113.00","279.94","United States","NYSE","USD","1.00","USD","-","0.26","0.26"
"SKY","CHAMPION HOMES INC","EQUITY","Consumer Discretionary","Equity","277,902,730.44","277,902,730.44","3,334,566.00","83.34","United States","NYSE","USD","1.00","USD","-","0.26","0.26"
"PSMT","PRICESMART INC","EQUITY","Consumer Staples","Equity","277,822,404.58","277,822,404.58","1,526,329.00","182.02","United States","NASDAQ","USD","1.00","USD","-","0.26","0.26"
"MIR","MIRION TECHNOLOGIES INC CLASS A","EQUITY","Information Technology","Equity","274,534,775.83","274,534,775.83","14,752,003.00","18.61","United States","NYSE","USD","1.00","USD","-","0.26","0.26"
"CWEN","CLEARWAY ENERGY INC CLASS C","EQUITY","Utilities","Equity","273,393,925.22","273,393,925.22","7,306,091.00","37.42","United States","NYSE","USD","1.00","USD","-","0.26","0.25"
"SKT","TANGER INC","EQUITY","Real Estate","Equity","271,450,640.37","271,450,640.37","6,937,149.00","39.13","United States","NYSE","USD","1.00","USD","-","0.25","0.25"
"ACIW","ACI WORLDWIDE INC","EQUITY","Information Technology","Equity","270,270,818.20","270,270,818.20","6,129,980.00","44.09","United States","NASDAQ","USD","1.00","USD","-","0.25","0.25"
"MDU","MDU RESOURCES GROUP INC","EQUITY","Utilities","Equity","268,146,634.53","268,146,634.53","12,594,957.00","21.29","United States","NYSE","USD","1.00","USD","-","0.25","0.25"
"REZI","RESIDEO TECHNOLOGIES INC","EQUITY","Industrials","Equity","268,046,201.79","268,046,201.79","8,400,069.00","31.91","United States","NYSE","USD","1.00","USD","-","0.25","0.25"
"LBRT","LIBERTY ENERGY INC CLASS A","EQUITY","Energy","Equity","267,449,650.74","267,449,650.74","9,839,943.00","27.18","United States","NYSE","USD","1.00","USD","-","0.25","0.25"
"BGC","BGC GROUP INC CLASS A","EQUITY","Financials","Equity","267,192,048.70","267,192,048.70","22,173,614.00","12.05","United States","NASDAQ","USD","1.00","USD","-","0.25","0.25"
"CLSK","CLEANSPARK INC","EQUITY","Information Technology","Equity","266,749,399.72","266,749,399.72","15,472,703.00","17.24","United States","NASDAQ","USD","1.00","USD","-","0.25","0.25"
"MRP","MILLROSE PROPERTIES INC CLASS A","EQUITY","Real Estate","Equity","264,105,345.60","264,105,345.60","9,299,484.00","28.40","United States","NYSE","USD","1.00","USD","-","0.25","0.25"
"JXN","JACKSON FINANCIAL INC CLASS A","SWAP","Financials","Equity","0.00","263,463,847.79","2,466,659.00","106.81","United States","NYSE","USD","1.00","USD","-","-","0.24"
"FULT","FULTON FINANCIAL CORP","EQUITY","Financials","Equity","261,673,880.30","261,673,880.30","11,426,807.00","22.90","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"CRC","CALIFORNIA RESOURCES CORP","EQUITY","Energy","Equity","260,550,705.80","260,550,705.80","4,711,586.00","55.30","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
"VCYT","VERACYTE INC","EQUITY","Health Care","Equity","258,026,372.16","258,026,372.16","4,811,232.00","53.63","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"RUSHA","RUSH ENTERPRISES INC CLASS A","EQUITY","Industrials","Equity","257,858,690.76","257,858,690.76","3,677,916.00","70.11","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"MKTX","MARKETAXESS HOLDINGS INC","EQUITY","Financials","Equity","255,704,619.24","255,704,619.24","2,125,028.00","120.33","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"SPHR","SPHERE ENTERTAINMENT CLASS A","EQUITY","Communication","Equity","255,188,630.68","255,188,630.68","1,621,996.00","157.33","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
"ATMU","ATMUS FILTRATION TECHNOLOGIES INC","EQUITY","Industrials","Equity","255,041,978.39","255,041,978.39","4,924,541.00","51.79","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
"MC","MOELIS CLASS A","EQUITY","Financials","Equity","254,430,612.46","254,430,612.46","3,787,297.00","67.18","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
"CNR","CORE NATURAL RESOURCES INC","EQUITY","Energy","Equity","254,008,173.62","254,008,173.62","3,039,466.00","83.57","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
"RXO","RXO INC","EQUITY","Industrials","Equity","252,480,546.66","252,480,546.66","9,944,094.00","25.39","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
"CPB","CAMPBELL SOUP","EQUITY","Consumer Staples","Equity","250,943,079.15","250,943,079.15","11,864,921.00","21.15","United States","NASDAQ","USD","1.00","USD","-","0.23","0.23"
"MWA","MUELLER WATER PRODUCTS INC SERIES","EQUITY","Industrials","Equity","246,526,463.82","246,526,463.82","9,434,614.00","26.13","United States","NYSE","USD","1.00","USD","-","0.23","0.23"
"CVSA","COVISTA INC","EQUITY","Consumer Discretionary","Equity","244,325,567.43","244,325,567.43","2,051,949.00","119.07","United States","NYSE","USD","1.00","USD","-","0.23","0.23"
"SFBS","SERVISFIRST BANCSHARES INC","EQUITY","Financials","Equity","243,978,697.08","243,978,697.08","3,032,298.00","80.46","United States","NYSE","USD","1.00","USD","-","0.23","0.23"
"EPAM","EPAM SYSTEMS INC","EQUITY","Information Technology","Equity","243,291,227.52","243,291,227.52","3,174,468.00","76.64","United States","NYSE","USD","1.00","USD","-","0.23","0.23"
"OPLN","OPENLANE INC","EQUITY","Industrials","Equity","243,195,842.61","243,195,842.61","6,388,123.00","38.07","United States","NYSE","USD","1.00","USD","-","0.23","0.23"
"VCTR","VICTORY CAPITAL HOLDINGS CLASS A I","EQUITY","Financials","Equity","242,764,599.77","242,764,599.77","2,790,077.00","87.01","United States","NASDAQ","USD","1.00","USD","-","0.23","0.23"
"MMSI","MERIT MEDICAL SYSTEMS INC","EQUITY","Health Care","Equity","241,787,315.10","241,787,315.10","3,596,955.00","67.22","United States","NASDAQ","USD","1.00","USD","-","0.23","0.23"
"PJT","PJT PARTNERS INC CLASS A","EQUITY","Financials","Equity","240,710,003.31","240,710,003.31","1,548,273.00","155.47","United States","NYSE","USD","1.00","USD","-","0.23","0.22"
"KTB","KONTOOR BRANDS INC","EQUITY","Consumer Discretionary","Equity","239,673,284.84","239,673,284.84","3,066,052.00","78.17","United States","NYSE","USD","1.00","USD","-","0.22","0.22"
"LIF","LIFE360 INC","EQUITY","Information Technology","Equity","239,505,494.46","239,505,494.46","4,885,873.00","49.02","United States","NASDAQ","USD","1.00","USD","-","0.22","0.22"
"CATY","CATHAY GENERAL BANCORP","EQUITY","Financials","Equity","239,122,280.23","239,122,280.23","4,046,747.00","59.09","United States","NASDAQ","USD","1.00","USD","-","0.22","0.22"
"FELE","FRANKLIN ELECTRIC INC","EQUITY","Industrials","Equity","238,726,368.00","238,726,368.00","2,291,040.00","104.20","United States","NASDAQ","USD","1.00","USD","-","0.22","0.22"
"BMI","BADGER METER INC","EQUITY","Information Technology","Equity","238,454,119.50","238,454,119.50","1,759,809.00","135.50","United States","NYSE","USD","1.00","USD","-","0.22","0.22"
